Month,Production_tonne_2017,Production_tonne_2018,Production_tonne_2019,Production_tonne_2020,Consumption_2017,Consumption_2018,Consumption_2019,Consumption_2020,Import_tonne_2017,Import_tonne_2018,Import_tonne_2019,Import_tonne_2020,Export_tonne_2017,Export_tonne_2018,Export_tonne_2019,Export_tonne_2020
 January,68454.16,73000,78000,86000,89845.2,99350,98000,102000,37331.16,42018,43481,30994,1083,29,8,1811
 February,68454.16,52000,50000,53000,89845.2,95800,92000,102500,37331.16,45722,36883,31368,1083,33,218,1139
 March,68454.16,45000,33000,32000,89845.2,103000,100000,76000,37331.16,48699,37191,25091,1083,19,605,1212
 April,48000,40000,32000,15000,89000,98500,96500,5000,24289,38055,32983,24211,2240,329,827,746
 May,50000,42000,41000,26000,88700,103000,100120,52000,37256,47393,33669,38324,1247,24,309,414
 June,45000,44000,50000,41000,86680,102550,98000,84460,33437,43910,39980,18039,134,178,890,273
 July,58000,46000,60000,52000,89500,105490,95000,96000,35560,39627,50940,27850,301,202,507,214
 August,58000,40000,57000,59000,88400,101500,92500,94000,44787,59588,57821,36883,262,417,313,103
 September,61000,65000,68000,63000,86680,103000,85000,103450,49844,70887,42550,38498,24,694,920,379
 October,62000,67000,65000,75000,89000,102560,89000,107000,38048,71142,44397,35324,479,202,2558,574
 November,64000,65000,78000,59333.33,965000,99860,97000,94510,33964,51576,36907,38101.91,284,1157,339,1072.66
 December,78000,81000,90000,59333.33,99600,105480,100500,94510,36136,42618,30523,38101.91,20,517,2047,1072.66
