Month,Production_tonne,Year,Consumption,Import_tonne,Export_tonne
 January,68454.16,2017,89845.2,37331.16,1083
 February,68454.16,2017,89845.2,37331.16,1083
 March,68454.16,2017,89845.2,37331.16,1083
 April,48000,2017,89000,24289,2240
 May,50000,2017,88700,37256,1247
 June,45000,2017,86680,33437,134
 July,58000,2017,89500,35560,301
 August,58000,2017,88400,44787,262
 September,61000,2017,86680,49844,24
 October,62000,2017,89000,38048,479
 November,64000,2017,965000,33964,284
 December,78000,2017,99600,36136,20
 January,73000,2018,99350,42018,29
 February,52000,2018,95800,45722,33
 March,45000,2018,103000,48699,19
 April,40000,2018,98500,38055,329
 May,42000,2018,103000,47393,24
 June,44000,2018,102550,43910,178
 July,46000,2018,105490,39627,202
 August,40000,2018,101500,59588,417
 September,65000,2018,103000,70887,694
 October,67000,2018,102560,71142,202
 November,65000,2018,99860,51576,1157
 December,81000,2018,105480,42618,517
 January,78000,2019,98000,43481,8
 February,50000,2019,92000,36883,218
 March,33000,2019,100000,37191,605
 April,32000,2019,96500,32983,827
 May,41000,2019,100120,33669,309
 June,50000,2019,98000,39980,890
 July,60000,2019,95000,50940,507
 August,57000,2019,92500,57821,313
 September,68000,2019,85000,42550,920
 October,65000,2019,89000,44397,2558
 November,78000,2019,97000,36907,339
 December,90000,2019,100500,30523,2047
 January,86000,2020,102000,30994,1811
 February,53000,2020,102500,31368,1139
 March,32000,2020,76000,25091,1212
 April,15000,2020,5000,24211,746
 May,26000,2020,52000,38324,414
 June,41000,2020,84460,18039,273
 July,52000,2020,96000,27850,214
 August,59000,2020,94000,36883,103
 September,63000,2020,103450,38498,379
 October,75000,2020,107000,35324,574
 November,59333.33,2020,94510,38101.91,1072.66
 December,59333.33,2020,94510,38101.91,1072.66
